 frame 	 train 	 tail 	 loops 	 rate 
  301  	  112  	  4   	  67   	0.3879781420765027
  302  	  109  	  1   	  73   	0.40437158469945356
  303  	  109  	  14  	  60   	0.40437158469945356
  304  	  105  	  9   	  69   	0.4262295081967213
  305  	  121  	  2   	  60   	0.33879781420765026
  306  	  109  	  3   	  71   	0.40437158469945356
  307  	  97   	  3   	  83   	0.46994535519125685
  308  	  119  	  2   	  62   	0.34972677595628415
  309  	  107  	  19  	  57   	0.41530054644808745
  310  	  115  	  9   	  59   	0.37158469945355194
  311  	  119  	  7   	  57   	0.34972677595628415
  312  	  122  	  14  	  47   	0.3333333333333333
  313  	  116  	  1   	  66   	0.366120218579235
  314  	  108  	  14  	  61   	0.4098360655737705
  315  	  122  	  13  	  48   	0.3333333333333333
  316  	  121  	  8   	  54   	0.33879781420765026
  317  	  110  	  3   	  70   	0.3989071038251366
  318  	  113  	  8   	  62   	0.3825136612021858
  319  	  104  	  5   	  74   	0.43169398907103823
  320  	  108  	  3   	  72   	0.4098360655737705
  321  	  93   	  12  	  78   	0.4918032786885246
  322  	  108  	  5   	  70   	0.4098360655737705
  323  	  112  	  3   	  68   	0.3879781420765027
  324  	  95   	  5   	  83   	0.4808743169398907
  325  	  101  	  12  	  70   	0.44808743169398907
  326  	  105  	  14  	  64   	0.4262295081967213
  327  	  111  	  3   	  69   	0.39344262295081966
  328  	  104  	  1   	  78   	0.43169398907103823
  329  	  109  	  4   	  70   	0.40437158469945356
  330  	  106  	  8   	  69   	0.4207650273224044
  331  	  125  	  8   	  50   	0.31693989071038253
  332  	  106  	  15  	  62   	0.4207650273224044
  333  	  103  	  6   	  74   	0.4371584699453552
  334  	  107  	  1   	  75   	0.41530054644808745
  335  	  116  	  2   	  65   	0.366120218579235
  336  	  102  	  9   	  72   	0.4426229508196721
  337  	  116  	  5   	  62   	0.366120218579235
  338  	  110  	  6   	  67   	0.3989071038251366
  339  	  119  	  2   	  62   	0.34972677595628415
  340  	  88   	  11  	  84   	0.5191256830601093
  341  	  112  	  7   	  64   	0.3879781420765027
  342  	  102  	  13  	  68   	0.4426229508196721
  343  	  111  	  5   	  67   	0.39344262295081966
  344  	  107  	  4   	  72   	0.41530054644808745
  345  	  110  	  10  	  63   	0.3989071038251366
  346  	  109  	  9   	  65   	0.40437158469945356
  347  	  113  	  8   	  62   	0.3825136612021858
  348  	  114  	  9   	  60   	0.3770491803278688
  349  	  109  	  5   	  69   	0.40437158469945356
  350  	  111  	  4   	  68   	0.39344262295081966
  351  	  118  	  4   	  61   	0.3551912568306011
  352  	  118  	  6   	  59   	0.3551912568306011
  353  	  106  	  7   	  70   	0.4207650273224044
  354  	  106  	  7   	  70   	0.4207650273224044
  355  	  96   	  5   	  82   	0.47540983606557374
  356  	  112  	  3   	  68   	0.3879781420765027
  357  	  100  	  11  	  72   	0.453551912568306
  358  	  112  	  10  	  61   	0.3879781420765027
  359  	  106  	  11  	  66   	0.4207650273224044
  360  	  123  	  3   	  57   	0.32786885245901637
  361  	  120  	  9   	  54   	0.3442622950819672
  362  	  122  	  11  	  50   	0.3333333333333333
  363  	  115  	  5   	  63   	0.37158469945355194
  364  	  111  	  8   	  64   	0.39344262295081966
  365  	  117  	  14  	  52   	0.36065573770491804
  366  	  112  	  6   	  65   	0.3879781420765027
  367  	  105  	  1   	  77   	0.4262295081967213
  368  	  114  	  2   	  67   	0.3770491803278688
  369  	  104  	  2   	  77   	0.43169398907103823
  370  	  121  	  12  	  50   	0.33879781420765026
  371  	  104  	  12  	  67   	0.43169398907103823
  372  	  107  	  4   	  72   	0.41530054644808745
  373  	  110  	  7   	  66   	0.3989071038251366
  374  	  109  	  11  	  63   	0.40437158469945356
  375  	  93   	  19  	  71   	0.4918032786885246
  376  	  99   	  4   	  80   	0.45901639344262296
  377  	  105  	  3   	  75   	0.4262295081967213
  378  	  121  	  2   	  60   	0.33879781420765026
  379  	  115  	  8   	  60   	0.37158469945355194
  380  	  114  	  9   	  60   	0.3770491803278688
  381  	  124  	  2   	  57   	0.3224043715846995
  382  	  117  	  5   	  61   	0.36065573770491804
  383  	  96   	  6   	  81   	0.47540983606557374
  384  	  96   	  15  	  72   	0.47540983606557374
  385  	  129  	  1   	  53   	0.29508196721311475
  386  	  108  	  13  	  62   	0.4098360655737705
  387  	  109  	  13  	  61   	0.40437158469945356
  388  	  120  	  1   	  62   	0.3442622950819672
  389  	  104  	  7   	  72   	0.43169398907103823
  390  	  107  	  15  	  61   	0.41530054644808745
  391  	  110  	  10  	  63   	0.3989071038251366
  392  	  113  	  6   	  64   	0.3825136612021858
  393  	  99   	  15  	  69   	0.45901639344262296
  394  	  109  	  1   	  73   	0.40437158469945356
  395  	  109  	  6   	  68   	0.40437158469945356
  396  	  109  	  6   	  68   	0.40437158469945356
  397  	  118  	  4   	  61   	0.3551912568306011
  398  	  109  	  4   	  70   	0.40437158469945356
  399  	  110  	  5   	  68   	0.3989071038251366
  400  	  123  	  5   	  55   	0.32786885245901637
  401  	  107  	  5   	  71   	0.41530054644808745
  402  	  111  	  4   	  68   	0.39344262295081966
  403  	  122  	  1   	  60   	0.3333333333333333
  404  	  100  	  15  	  68   	0.453551912568306
  405  	  110  	  8   	  65   	0.3989071038251366
  406  	  118  	  4   	  61   	0.3551912568306011
  407  	  122  	  0   	  61   	0.3333333333333333
  408  	  112  	  2   	  69   	0.3879781420765027
  409  	  103  	  8   	  72   	0.4371584699453552
  410  	  124  	  0   	  59   	0.3224043715846995
  411  	  104  	  11  	  68   	0.43169398907103823
  412  	  120  	  3   	  60   	0.3442622950819672
  413  	  120  	  15  	  48   	0.3442622950819672
  414  	  117  	  5   	  61   	0.36065573770491804
  415  	  112  	  11  	  60   	0.3879781420765027
  416  	  101  	  6   	  76   	0.44808743169398907
  417  	  105  	  11  	  67   	0.4262295081967213
  418  	  120  	  4   	  59   	0.3442622950819672
  419  	  97   	  22  	  64   	0.46994535519125685
  420  	  107  	  2   	  74   	0.41530054644808745
  421  	  104  	  18  	  61   	0.43169398907103823
  422  	  120  	  3   	  60   	0.3442622950819672
  423  	  117  	  8   	  58   	0.36065573770491804
  424  	  98   	  13  	  72   	0.4644808743169399
  425  	  109  	  9   	  65   	0.40437158469945356
  426  	  103  	  4   	  76   	0.4371584699453552
  427  	  115  	  2   	  66   	0.37158469945355194
  428  	  109  	  1   	  73   	0.40437158469945356
  429  	  104  	  5   	  74   	0.43169398907103823
  430  	  111  	  11  	  61   	0.39344262295081966
  431  	  103  	  11  	  69   	0.4371584699453552
  432  	  103  	  10  	  70   	0.4371584699453552
  433  	  114  	  2   	  67   	0.3770491803278688
  434  	  115  	  9   	  59   	0.37158469945355194
  435  	  118  	  5   	  60   	0.3551912568306011
  436  	  109  	  6   	  68   	0.40437158469945356
  437  	  107  	  6   	  70   	0.41530054644808745
  438  	  118  	  0   	  65   	0.3551912568306011
  439  	  114  	  7   	  62   	0.3770491803278688
  440  	  112  	  5   	  66   	0.3879781420765027
  441  	  110  	  1   	  72   	0.3989071038251366
  442  	  107  	  2   	  74   	0.41530054644808745
  443  	  108  	  4   	  71   	0.4098360655737705
  444  	  108  	  12  	  63   	0.4098360655737705
  445  	  112  	  3   	  68   	0.3879781420765027
  446  	  113  	  7   	  63   	0.3825136612021858
  447  	  112  	  10  	  61   	0.3879781420765027
  448  	  111  	  12  	  60   	0.39344262295081966
  449  	  113  	  7   	  63   	0.3825136612021858
  450  	  111  	  0   	  72   	0.39344262295081966
  451  	  121  	  12  	  50   	0.33879781420765026
  452  	  113  	  3   	  67   	0.3825136612021858
  453  	  112  	  1   	  70   	0.3879781420765027
  454  	  113  	  7   	  63   	0.3825136612021858
  455  	  121  	  6   	  56   	0.33879781420765026
  456  	  123  	  6   	  54   	0.32786885245901637
  457  	  109  	  4   	  70   	0.40437158469945356
  458  	  127  	  9   	  47   	0.30601092896174864
  459  	  116  	  13  	  54   	0.366120218579235
  460  	  119  	  9   	  55   	0.34972677595628415
  461  	  127  	  6   	  50   	0.30601092896174864
  462  	  110  	  2   	  71   	0.3989071038251366
  463  	  106  	  11  	  66   	0.4207650273224044
  464  	  125  	  5   	  53   	0.31693989071038253
  465  	  97   	  14  	  72   	0.46994535519125685
  466  	  106  	  8   	  69   	0.4207650273224044
  467  	  118  	  11  	  54   	0.3551912568306011
  468  	  100  	  15  	  68   	0.453551912568306
  469  	  111  	  11  	  61   	0.39344262295081966
  470  	  112  	  6   	  65   	0.3879781420765027
  471  	  102  	  11  	  70   	0.4426229508196721
  472  	  109  	  15  	  59   	0.40437158469945356
  473  	  111  	  1   	  71   	0.39344262295081966
  474  	  114  	  2   	  67   	0.3770491803278688
  475  	  116  	  10  	  57   	0.366120218579235
  476  	  117  	  3   	  63   	0.36065573770491804
  477  	  122  	  6   	  55   	0.3333333333333333
  478  	  110  	  4   	  69   	0.3989071038251366
  479  	  114  	  4   	  65   	0.3770491803278688
  480  	  106  	  13  	  64   	0.4207650273224044
  481  	  106  	  4   	  73   	0.4207650273224044
  482  	  108  	  4   	  71   	0.4098360655737705
  483  	  101  	  9   	  73   	0.44808743169398907
  484  	  104  	  11  	  68   	0.43169398907103823
  485  	  120  	  8   	  55   	0.3442622950819672
  486  	  102  	  14  	  67   	0.4426229508196721
  487  	  109  	  1   	  73   	0.40437158469945356
  488  	  105  	  14  	  64   	0.4262295081967213
  489  	  117  	  9   	  57   	0.36065573770491804
  490  	  103  	  14  	  66   	0.4371584699453552
  491  	  111  	  2   	  70   	0.39344262295081966
  492  	  106  	  14  	  63   	0.4207650273224044
  493  	  120  	  1   	  62   	0.3442622950819672
  494  	  123  	  2   	  58   	0.32786885245901637
  495  	  107  	  0   	  76   	0.41530054644808745
  496  	  114  	  2   	  67   	0.3770491803278688
  497  	  121  	  2   	  60   	0.33879781420765026
  498  	  99   	  4   	  80   	0.45901639344262296
  499  	  112  	  10  	  61   	0.3879781420765027
  500  	  117  	  14  	  52   	0.36065573770491804
  501  	  109  	  5   	  69   	0.40437158469945356
  502  	  111  	  7   	  65   	0.39344262295081966
  503  	  102  	  18  	  63   	0.4426229508196721
  504  	  125  	  9   	  49   	0.31693989071038253
  505  	  99   	  9   	  75   	0.45901639344262296
  506  	  116  	  3   	  64   	0.366120218579235
  507  	  115  	  0   	  68   	0.37158469945355194
  508  	  88   	  10  	  85   	0.5191256830601093
  509  	  114  	  1   	  68   	0.3770491803278688
  510  	  94   	  8   	  81   	0.48633879781420764
  511  	  122  	  9   	  52   	0.3333333333333333
  512  	  107  	  9   	  67   	0.41530054644808745
  513  	  123  	  8   	  52   	0.32786885245901637
  514  	  106  	  7   	  70   	0.4207650273224044
  515  	  113  	  5   	  65   	0.3825136612021858
  516  	  115  	  4   	  64   	0.37158469945355194
  517  	  108  	  4   	  71   	0.4098360655737705
  518  	  106  	  8   	  69   	0.4207650273224044
  519  	  113  	  12  	  58   	0.3825136612021858
  520  	  106  	  5   	  72   	0.4207650273224044
  521  	  117  	  5   	  61   	0.36065573770491804
  522  	  119  	  2   	  62   	0.34972677595628415
  523  	  104  	  8   	  71   	0.43169398907103823
  524  	  110  	  10  	  63   	0.3989071038251366
  525  	  111  	  8   	  64   	0.39344262295081966
  526  	  112  	  4   	  67   	0.3879781420765027
  527  	  110  	  13  	  60   	0.3989071038251366
  528  	  107  	  1   	  75   	0.41530054644808745
  529  	  102  	  11  	  70   	0.4426229508196721
  530  	  113  	  4   	  66   	0.3825136612021858
  531  	  115  	  4   	  64   	0.37158469945355194
  532  	  121  	  6   	  56   	0.33879781420765026
  533  	  117  	  7   	  59   	0.36065573770491804
  534  	  118  	  5   	  60   	0.3551912568306011
  535  	  108  	  12  	  63   	0.4098360655737705
  536  	  115  	  6   	  62   	0.37158469945355194
  537  	  108  	  4   	  71   	0.4098360655737705
